text,rating,label
"Okay. I purchased 3 what I thought were different styles of arm covers, all black. Well, I got 2 Hi-cool and one something else. At least I can compare the two I bought. Hi-cool are far superior. I wear them for at least 8 hours and my arms do not mind! I am afraid of skin cancer and I am in the sun all day, so I bought these. Yes, they are bit warm, but not bad at all. They grip but not so tight you lose circulation (and I do not have skinny arms). They are so soft and comfortable. I wish I knew what the other ones were called, but I now know for a fact that Hi-Cool Rules!

06/2015-  Well, I ordered another pair and these are different. They are much thinner and seem shorter. I guess they are not all made the same. Just a heads up. The new pair is very uncomfortable because it is smaller and shorter.  Once you stretch it to fit, you can see through the fabric....hope it still protects me.  Buyer beware. All Hi-Cool are not the same.",5.0,0
"New Era hats are my favorite fitted baseball gats. I have had 4 hats from them. Over time, they get dirty, but I still like them.",5.0,0
"Having bought a new case, i got a whole bunch of fans to go with it.  despite them being able to be used with out a fan control, i decided to get one, because i realized that the fans can be quite loud. so i got this.
definitely worth the $20 or so i paid for it. it installed like a breeze (note that it'll fit into a slot that a normal sized CD/DVD drive would fit into).  It can control up to 5 fans and it'll vary speed and in the case of my fans brightness of the LEDs.
When the fans (5 of them) are full blast, it can get pretty loud. i usually don't turn them up to full blast unless doing something strenuous to my computer like playing games doing some data analysis of huge data sets.
overall good and worth the investment for a more customized computer. probably not very useful if you have 1 fan.",5.0,0
Really good transfer rate and looks great.  It is a bit heavy for my small screen and doesn't move at all,5.0,1
This silicone cake pan makes a great presentation. I made a chocolate cake and it turned out great. I have reviewed other silicone bakeware products for Amazon and have been happy with them. Clean up is super easy because almost no crumbs or residue from the cake remain in the pan. The cake did pop right out without it sticking to the inside. The instructions do say to bake with the pan placed on top of a cookie sheet. Great for a party as a way to showcase a cake.,4.0,0
"I ordered these in size small.  I am 6'1"", 180lbs, and ordered a size Large.  The fit is perfect and the fit is tight. ",5.0,1
they have a lot of flex in them and make it hard to 'tee up' in hard ground.,3.0,0
"good volume to the calls.  I have an iPhone 6 and it fits my hand well.  The other two have the same size, but they're slightly different sizes.  I can't go wrong with this one.",5.0,1
Very good unit.  I use it at the gym and I keep it for my kids. ,4.0,1
"It works as advertised, so far (about 3 months) no problem.  I cover the screen while driving because it can be a distraction.  Once set, the camera comes on and records without any operator input, set and forget.",4.0,0
Nice set of measuring spoons.  They're simple and you can separate them easily if you don't want them all connected.,5.0,0
This is such a great book. The characters are well developed and the story is well told. The story is well written and the story is well written. I think this is,5.0,1
"I love all the books in this series.  I loved all the characters, the way they came together and the way the story flowed.  The characters were great.  I can't wait to see what happens in the next",5.0,1
"Sling is very nice, HOWEVER, it has the wide mouth part of the handle that makes the handle slide.

I had to replace the clamp with the H-ring clamp to get it to slide.

I will be using it for a few years",4.0,1
Takes apart all my knives with this one tool. Can fix my bent clips easily.,4.0,0
"Thunderbolt transfers are ridiculously fast compared to Firewire and USB -- 10 gbps -- and are incredibly handy when working on the fly with large files. It's an excellent choice for large video, photo, and audio files. It can be daisychained, too, so you can have multiple adapters setup for one machine (ultimate efficiency and speed!).

Unfortunately, no cable is included - so this can become an expensive upgrade pretty quickly.  I used this in conjunction with a 3TB Seagate drive, and was very pleased at its utility for backing up and storing files; Thunderbolt's speed is definitely overkill for regular small backups, but is invaluable with huge files and directories. It doesn't require a Seagate hard drive, just any SATA III drive.",4.0,0
"I bought a Hoover Max vacuum for my son's school. I also have a vacuum for my other two kids. I am very happy with the purchase. This is a great fan. It is quiet and does a great job of keeping the water cool. I have had no issues with it. I have also had it for several years. I am very happy with this purchase. I just wish there was a way to remove the metal covering. I will buy another one. I got this for my son's old house. He loved it and it was great!  We have been using it daily for several weeks now and it has worked perfectly. It is a very good size for his small bedroom, but I would recommend it to anyone. Very nice for the price. Love it!Easy to clean. Love the design of this pan. We use it on our sink and it cleans up easily. I would recommend. My daughter loves this pillow.",1.0,1
"Nice driver. Goes a ton, looks good, and is comfortable.

The only reason I",5.0,1
"These forks were just what I've needed to supplement the seafood tools I already had.  I am a lobster lover and will not waste a single morsel of the little claws.  These help me get it all.  In addition, I find these are really helpful for getting olives or pickles out of their jars.  They are great little tools for just a small expense.",5.0,0
"Nice watch.
This replaces a 4 star rating and the price. I will keep this watch in my collection.I bought this for a friend, and he is a big fan.  He has been using it for his golfing and fishing trips for about two years now.  He loves it.  He said it's a great watch, and he'll be purchasing it again.I love this gun. It works well and seems to last for years. I have a Beretta 1270 and it is very light weight. The sights are very well made and easy to sight in. This gun is super light and easy to carry. The gun fits nicely in my pack and holds a lot of ammo.",5.0,1
"For general plunking/backpacking purposes, this is an excellent quality chain. I will keep this for the next couple years. If you are a beginner, this is probably the chain for you. If you are a experienced rider, this will be your go to chain. I bought this for my husband for Christmas and he loves it! He is very impressed with the quality and construction. He is very happy with it. It works! I love the fact that it is so easy to use and carry. The only thing I would change is the color.",5.0,1
How come there are no more books in the series? I will keep reading them!Very good. I read this book in the last few days and have enjoyed it.,5.0,1
Great movie! A little slow paced but good all the same,5.0,0
"This is another story that I have read by this author.

The story starts out with a young girl named Grace and her grandfather. Grace is the daughter of a great fortune and is taking a job in the local police",1.0,1
This fan is really pretty and I actually use it.,5.0,0
"This cable probably functions properly with certain devices.  Between my Mac Mini and my Mitsubishi Projection TV, it did not, best I can see is because there is a sync issue that one or the other do not support.  The cable itself lacks shielding on the final component leads.",3.0,0
"Great way to connect Lanyards, not a real buckle, they do not come apart easily and are designed to break away at 20lbs,,, make your lanyards to go on and off over your head without the connectors unconnecting.",5.0,0
"I have bought 3 of these. The only problem is that they are too small for my 4.5"" rangefinder. I am 6' tall, and the cover is too large for my 6"" scope. So I bought a medium size. This one is perfect.Great for the price.  I have a 11",5.0,1
"Sweet, works great! When plugged in it always defaults to VGA which is a little annoying to need to press for HDMI, but not complaining. It's very useful to be able to switch display with the push of a button. As with all of these cheap brand accessories, the quality is lacking but be gentle with it and it'll last.",5.0,0
I ordered two of  this set and they work fine.  I also have a pair of the other pair.  The first one is a bit bulky and the second is very comfortable.  The only complaint is that the cover is very thick.  This is a problem for most people.  The bottom line is that it will not fit over the shoulder strap.  I also have a pair of the other pair that I am wearing.  I have a pair of the other pair that I am using for a friend.  I am using these for our,1.0,1
"I have only been able to use the external hard drive for a few months, but I'm still using it.  The drive is solid and works as expected.  The only con is that it",5.0,1
"We have it for the weekend and I am very pleased with it.

The only downside is that it is very small. The mount is designed to be a bit too large for a regular tripod. It is not a huge problem for me.I bought this to replace a",5.0,1
Used this several times now and it is the best. I will keep my 2x2 and the other two in the car. The only negative is the plastic part on the handle is a little bit too hard. I would like to change it.I bought this to replace the old one I bought.  I love the color and the fact that the pockets are a,5.0,1
"Excellent choice of the early James Bond films: Thunderball, You only Live Twice, and Diamonds are Forever. The action never stops. At no time was I bored.",5.0,0
"I must say if I had known the quality of these I would have purchased them in person instead of ordering from Amazon. The quality of these is excellent, and the price is very reasonable.The lid is great.  The lid is very thick.  I use it to heat up the coffee.  I have a pot that I hang on the top of the stove top and the lid is just right.  I like the fact that it is so easy to clean and dry.  I have had no problems with the lid.  I am very pleased with this purchase.I'm a huge fan of the Nordic Kitchen that does a great job of making great quality soups for you and your guests.  They're also great for cold soups and hot sauces.",2.0,1
"This brand of microwave container's are Great. Love vent on lid. Handle is very handy, love my food Hot.",5.0,0
"I have another cast iron square grill from Calphalon(?) and after comparing the two I gotta say, Lodge is a lot nicer.

Some of you might be thinking ""it's just a piece of iron!"" but there are several small but key items that make this a better unit.

The metal seems nicer.  After cleaning them both, the lodge does seem shinier (if that's even possible) whereas my older unit started darkening after the first use.

Food and debris seem to come off easier with the Lodge though still a chore depending on what you cook.

The grill lines are wider and flatter than my other grill.  This makes cleaning easier and actually better grill marks on the food.

The grip at the end of the pan is also easier with the hole at the end of it.

Overall fun to use.",5.0,0
The case claims to fit a 9mm Glock 30x45 mag. This is a lie. The case is not the same as a 9mm Glock 30x45 mag.,1.0,1
"If you camp, this is a great option. It is a little heavy for a small person, but is well worth the extra",5.0,1
"It works.  With a name like this, I was surprised to find that it's built in Asia.",3.0,0
"This is a must have for any kitchen. I had my previous splatter screen for so long and one day the screen just fell out. I saw this 3-Pack and just had to have it. The product is lightweight, good quality, and protects very well. Also a good value.",5.0,0
"This salt mill is easy to set up and very comfortable.

The only reason I gave it 4 stars is that the plastic parts are very small, and the cover is very fragile.

",5.0,1
"First, let me say the obvious; for $100 this isn't cutting edge electronics so temper your expectations accordingly.  Having said that, this is a nice little tablet for the price as long as you keep it simple.

PROS:
Crisp display and at 7"" a nice viewing area.  Steams movies well with very minimal issues.
Comes with quite a few bells and whistles (so-so camera, assortment of apps, and some nice features such as weather updates and news)
Great for reading newspapers, books, and surfing non-graphic intensive web pages.

CONS:
Virtually no storage area, buying an expansion card is almost a must
Not powerful enough to play any graphic intensive apps.  Tried playing a simple app like Simpsons Tapped Out and it's very choppy and stutters.
Not a fan of the button placement but getting used to it.

Overall I'm happy with it.  I got it as a handy tablet to look up information quickly without going upstairs and starting my desktop computer.  Yes, it has it's limitations but I didn't spend $500 either.",4.0,0
My son loves this show and I enjoy watching it with him.,5.0,0
Used this for a cosplay weekend. The only problem is that it's a little hard to put,5.0,1
This is a great die. I have an old Burris one and this one is a pretty good one. The only thing I wish it had was a bit more punch.,5.0,1
"Tried to use on an old Macbook Pro, which I did not need, and was just fine.  I had to replace a defective one by the",1.0,1
This little ladder is great!!  I have an old stove that I used for a couple years and it is so small that it is difficult,5.0,1
"I purchased these @ 'The Drive' and they work just fine.  I have a hard time using them when I want to use a computer that is running a Windows 7 64 bit machine.  They are great for those situations.I was thinking about buying a 4"" MacBook Pro for the price.  I was hoping the case would fit the bill and it did not.  After reading some reviews, I decided to give it a try.  I have a hard time fitting the case on my MacBook Pro because I have a hard time finding a way to fit it on the desk.  I am really glad I did.  The case is very well made and it is very durable.  I would definitely recommend this to anyone.This is a great camera for the price.",5.0,1
"I'll take a star off here. The quality is good but it's not really the best one. I bought this for a friend, she loves it!I bought this for my daughter's room. It is a good size for her size.",4.0,1
"Came fast I think I ordered it early in the week and it was here by the end. I ordered mine with the 100g weight for recalibration. I feel for the price I paid this thing is great and with the test/recalibration weight even better I also like how it has all the instruction right on the lid. I have owned others and the where about the same, I've used it from everything from rocks, herb, mail, and anything else I might have needed it for. What I was looking for the money.",5.0,0
"I needed a fun and exciting way to workout while I am stuck in my ""ice palace"" during winter. Seriously my driveway gets too slippery to drive down so for much of the winter months I am stuck inside.

Zumba is fun, love the music and so does my one year old son who dances and tries to follow along with me.

Almost instant results happened for me. I started feeling better and happier after the first run through. I noticed weight begin to slip off little by little and suddenly I was at my pre baby weight in two weeks! I get that results like that are not too common, but stress was holding the weight on me and Zumba really helped my stress levels.

Fun and exciting. I am a big fan!!!",5.0,0
